Team,G,PA,AB,R,H,Singles,Doubles,Triples,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB
Coors,162,6388,5705,959,1632,1025,346,53,208,918,91,32,535,1309,2708,135,71,20,56,9
Non-Coors,4698,177716,158713,21473,39207,25006,7882,659,5660,20594,3412,834,15284,40534,65387,3331,2041,409,1174,465
