Source.Name,Rk,Team,date,pts,away,opp,result,mp,fg,fga,fgpc,twop,twopa,twofgpc,threep,threepa,threefgpc,ft,fta,ftpc,season
NBA_by_game_1000.csv,835,SAS,1/27/2019,132,,WAS,W 132-119,240,49,86,0.57,33,52,0.635,16,34,0.471,18,21,0.857,2018-19
NBA_by_game_1000.csv,836,DEN,1/25/2019,132,,PHO,W 132-95,240,47,94,0.5,32,58,0.552,15,36,0.417,23,29,0.793,2018-19
NBA_by_game_1000.csv,837,PHI,1/8/2019,132,,WAS,W 132-115,240,49,88,0.557,32,55,0.582,17,33,0.515,17,25,0.68,2018-19
NBA_by_game_1000.csv,838,PHI,1/2/2019,132,away,PHO,W 132-127,240,40,74,0.541,29,50,0.58,11,24,0.458,41,54,0.759,2018-19
NBA_by_game_1000.csv,839,GSW,12/31/2018,132,away,PHO,W 132-109,240,46,84,0.548,32,56,0.571,14,28,0.5,26,32,0.813,2018-19
NBA_by_game_1000.csv,840,CHO,12/26/2018,132,away,BRK,L 132-134 (2OT),290,47,106,0.443,32,75,0.427,15,31,0.484,23,30,0.767,2018-19
NBA_by_game_1000.csv,841,LAC,12/22/2018,132,,DEN,W 132-111,240,53,92,0.576,43,72,0.597,10,20,0.5,16,17,0.941,2018-19
NBA_by_game_1000.csv,842,OKC,12/19/2018,132,away,SAC,W 132-113,240,51,102,0.5,38,70,0.543,13,32,0.406,17,27,0.63,2018-19
NBA_by_game_1000.csv,843,MIN,12/17/2018,132,,SAC,W 132-105,240,48,96,0.5,38,69,0.551,10,27,0.37,26,30,0.867,2018-19
NBA_by_game_1000.csv,844,NOP,12/5/2018,132,,DAL,W 132-106,240,51,92,0.554,34,63,0.54,17,29,0.586,13,20,0.65,2018-19
NBA_by_game_1000.csv,845,HOU,11/17/2018,132,,SAC,W 132-112,240,46,81,0.568,26,34,0.765,20,47,0.426,20,24,0.833,2018-19
